title,synopsis,genres,episodes,score,characters
Final Approach,"Ever since their parents died a few years ago, Ryo and his sister Akane have been living alone together. Despite their difficult situation, they are still living reasonably happy and normal lives. However, everything is about to be flipped upside-down due to a secret government project. Due to increasingly low birth rates in Japan, the Japanese government is testing a program in which two young people are forced to marry. Ryo wants no part of it, but he is given little choice in the matter; his new fianc&eacute;e, Shizuka, comes to his home late one night with several dozen government issued bodyguards, who are there to ensure the success of the new couple. Unlike Ryo, Shizuka couldn&rsquo;t be more willing to go along with this new program, and eagerly goes about her wifely duties, despite his objections. With meddling friends, pushy bodyguards, and an overenthusiastic new fianc&eacute;e, Ryo&rsquo;s life has taken a turn in a direction the young man certainly didn&rsquo;t expect.
<br><br>
(Source: Anime News Network)","Comedy, Drama, Romance, Slice of Life",13.0,60,"Miki Moriya, Yurika Meno, Shizuka Masuda, Akane Mizuhara, Haruki Mukasa, Ryou Mizuhara, Emiho Mutsu"
Fruits Basket,"Tohru Honda is 16 year old orphaned girl who gets invited to live in the house of her classmate, the handsome boy Sohma Yuki, and his cousins, 16 year old Kyo and 27 year old Shigure. However, these young men and parts of the rest of their family (both close and distant) hold a curse; if they are hugged by the opposite gender, they transform into animals of the Chinese Zodiac. Everyday is an adventure for sweet Tohru, as she gets to know everyone in the large family better (especially Yuki and Kyo), in both common and bizarre situations. But, the Sohma Family curse is certainly no laughing matter... it also holds horrible cruelty and heartbreak.","Comedy, Drama, Romance, Slice of Life, Supernatural",26.0,74,"Kyou Souma, Kagura Souma, Hatori Souma, Tooru Honda, Mitsuru, Kisa Souma, Yuki Souma, Motoko Minagawa, Shigure Souma, Ritsu Souma, Hatsuharu Souma, Momiji Souma, Ayame Souma, Akito Souma, Hiro Souma, Megumi Hanajima, Kazuma Souma, Saki Hanajima, Kyouko Honda, Arisa Uotani, Mine Kuramae, Kana Souma, Momo Souma, Minami Kinoshita, Rika Aida"
Hagane no Renkinjutsushi,"The rules of alchemy state that to gain something, one must lose something of equal value. Alchemy is the process of taking apart and reconstructing an object into a different entity, with the rules of alchemy to govern this procedure. However, there exists an object that can bring any alchemist above these rules, the object known as the Philosopher's Stone. The young Edward Elric is a particularly talented alchemist who through an accident years back lost his younger brother Alphonse and one of his legs. Sacrificing one of his arms as well, he used alchemy to bind his brother's soul to a suit of armor. This lead to the beginning of their journey to restore their bodies, in search for the legendary Philosopher's Stone.
<br><br>
<i>Note: Episodes 11, 12 and 37 were adapted from the light novel ""Fullmetal Alchemist: The Land of Sand.""</i>","Action, Adventure, Drama, Fantasy",51.0,79,"Alphonse Elric, Kathleen Elle Armstrong, Gracia Hughes, Lujon, King Bradley, Roy Mustang, Edward Elric, Bard, Rosé Tomas, Roa, Solf J. Kimblee, Maes Hughes, Wrath, Greed, Yoki, Frank Archer, Philip Gargantos Armstrong, Alex Louis Armstrong, Winry Rockbell, Martel, Clause, Lyra, Riza Hawkeye, Scar, Van Hohenheim"
Full Moon wo Sagashite,"Twelve-year-old Kouyama Mitsuki was devastated when she was diagnosed with a malignant tumor of the throat. She had made a promise to the boy she loves that she would one day become a singer, but her illness made singing impossible. To make matters even worse, two angels of death, Takuto and Meroko, appeared to Mitsuki and informed her that she only had one year left to live. This news provides an even greater motivation for Mitsuki to fulfill her dreams, and with a little bit of divine intervention, she begins her quest to become a professional singer so she can be reunited with Eichi before time runs out. <br><br>
(Source: Anime News Network)","Comedy, Drama, Mahou Shoujo, Music, Romance, Supernatural",52.0,76,"Taiki, Aoi Koga, Mitsuki Kouyama, Izumi Rio, Madoka Wakamatsu, Takuto Kira, Meroko Yui, Fuzuki Koyama, Kumi, Keiichi Wakaouji, Masami Ooshige, Jonathan, Eichi Sakurai"
Fushigi Yuugi,"While visiting the National Library, junior-high students Miaka Yuuki and Yui Hongo are transported into the world of a mysterious book set in ancient China, &ldquo;The Universe of The Four Gods.&rdquo; Miaka suddenly finds herself with the responsibility of being the priestess of Suzaku, and must find all of her celestial warriors for the purpose of summoning Suzaku for three wishes. However, the enemy nation of the god Seiryuu has manipulated Yui into becoming the priestess of Seiryuu. As enemies, the former best friends begin their long struggle to summon their respective gods and obtain their wishes&hellip;<br><br>
[Written by MAL Rewrite]","Adventure, Comedy, Drama, Fantasy, Romance",52.0,71,"Kouji, Chichiri, Keisuke Yuuki, Yui Hongo, Mitsukake, Tokaki, Amiboshi, Suboshi, Chiriko, Tasuki, Soi, Tetsuya Kajiwara, Tamahome, Subaru, Tomo, Hotohori, Emthatt Chen, Nuriko, Shouka, Miaka Yuuki, Tama, Nakago, Miboshi, Chamka Tan, Ashitare"
Fushigi Yuugi: Eikoden,"Taka (technically Tamahome) and Miaka are now happily married and only six months before their new family would be born, but an obessed girl named Mayo would do anything to make Taka hers. She enters the world of the Four Gods, determined to win Taka's heart and be the new priestess.","Adventure, Fantasy, Romance",4.0,61,"Chichiri, Keisuke Yuuki, Tasuki, Tetsuya Kajiwara, Tamahome, Boushin, Hotohori, Nuriko, Mayo Sakaki, Miaka Yuuki, Houki, Yui Hongo"
Futakoi,"With his mother dead and his father working abroad, Futami Nozomu returns to the town where he lived as a child, to attend high school and work part-time at a local shrine. He soon finds himself caught up in a local legend of twin girls loving the same man. And there are many twin girls in this town....
<br><br>
(Source: Anime News Network)","Comedy, Romance",13.0,60,"Kaoruko Ichijou, Lala Hinagiku, Lulu Hinagiku, Sumireko Ichijou, Souju Shirogane, Koi Chigusa, Sara Shirogane, Nozomu Futami, Keisuke Kosaka, Ui Chigusa, Ai Momoi, Kira Sakurazuki, Yura Sakurazuki, Mai Momoi"
Futakoi Alternative,"The Futaba Detective Agency, being run by Rentarou, who has taken over the family business, after his father's death 3 weeks ago. Along with Sara &amp; Souju, his live-in identical twin assistants, he ends up running afoul of the local Yakuza.
<br><br>
(Source: Anime News Network)","Comedy, Drama, Romance",13.0,65,"Rentarou Futaba, Kaoruko Ichijou, Lala Hinagiku, Lulu Hinagiku, Sumireko Ichijou, Souju Shirogane, Koi Chigusa, Sara Shirogane, Ui Chigusa, Ai Momoi, Ikafire, Nishimori Hariyama, Kira Sakurazuki, Yura Sakurazuki, Mai Momoi"
Gate Keepers,"It is Tokyo, 1969. Earth is under the attack of the ""Invaders."" Fortunately, though, the public is unaware of this. But to the secret orginazation, A.E.G.I.S., the threat is very real, and it is up them to stop this invasion. One day on his route to high school, Ukiya Shun observes a battle between a young girl and a group of Invaders. He ends up helping her and discovers that much like the girl, he possesses the ability to generate a ""gate"" of special power that only a few other people are gifted with. As a result, Ukiya then joins A.E.G.I.S. in an effort to recruit other Gate Keepers in order to protect the city, all while doing his best not to imitate his late father, whom he dispises.
<br><br>
(Source: Anime News Network)","Action, Comedy, Fantasy, Mecha, Sci-Fi",24.0,64,"Reiji Kageyama, Jim Skylark, Ruriko Ikusawa, Reiko Asagiri, Shun Ukiya, Kaoru Konoe, Choutarou Banba, Sayumi Ukiya, Jun Thunders, Yukino Houjou, Meguro Kanetake, Fei Ling Feng, Misao Sakimori, Megumi Kurogane"
Gate Keepers 21,"32 years have passed since the initial defeat of the Invaders. A.E.G.I.S is all but dismantled now and has become an underground organiziation consisting of only a few Gate Keepers left to save humanity. One of the members, Ayane Isuzu, is sick of society as a whole, though she continues to defeat the Invaders out of spite for her father. Suddenly, she learns of the revival of Machine General (Kikai Shogun) and Devil Count (Akuma Hakushaku), but a mysterious ghost girl now accompanies them. It is up to Ayane and the remnants of A.E.G.I.S to stop them and save humanity once again.
<br><br>
(Source: Anime News Network)","Action, Drama, Sci-Fi",6.0,63,"Reiji Kageyama, Ayane Isuzu, Chinami Watanabe, Naoko Itou, Miu Manaduru, Yukino Houjou, Ghost Girl, Satoka Tachikawa"
Gensou Maden Saiyuuki,"Many years ago, humans and demons lived in harmony. But that unity ended when demons started attacking humans and plotted a mission to unleash Gyumao - an evil demon imprisoned for thousands of years. Now, Genjo Sanzo, a rogue priest, must team up with three demons - Sha Gojyo, Son Goku, and Cho Hakkai - and embark on a perilous journey to the west to stop these demons from resurrecting Gyumao and restore the balance between humans and demons on Earth.
<br><br>
(Source: Anime News Network)","Adventure, Comedy, Drama, Supernatural",50.0,69,"Homura Toushin, Hakkai Cho, Tenpou Gensui, Goku Son, Kougaiji, Gojou Sha, Kenren Taishou, Konzen Douji, Sanzou Genjou, Shien, Lirin, Yaone, Sanzo Koumyou, Zenon, Kanzeon Bosatsu, Ni Jianyi, Chin Yisou, Dokugakuji, Jeep, Nataku Taishi, Gyokumen Koushou, Goujun"
Saiyuuki RELOAD,"Priest Genjo Sanzo and companions Cho Hakkai, Sha Gojyo, and Son Goku maintain their westward journey to stop the resurrection of the demon Gyoumao. As the reputation of the Sanzo Ikkou precedes them, they continue to fight demon assassins at every turn, but they must also deal with increasing tensions within their group in order to defeat a powerful enemy.
<br><br>
(Source: Anime News Network)","Action, Adventure, Comedy, Drama, Fantasy",25.0,69,"Rampa, Hakkai Cho, Goku Son, Gyokumen Koushou, Lirin, Kami-sama, Sanzo Koumyou, Gojou Sha, Sanzou Genjou, Kougaiji, Ginkaku, Yaone, Ni Jianyi, Dokugakuji, Jeep, Kanzeon Bosatsu, Kinkaku"
Saiyuuki RELOAD GUNLOCK,"The Sanzo Ikkou continues its westward journey, on a mission to prevent a demonic resurrection. As Genjo Sanzo, Cho Hakkai, Sha Gojyo, and Son Goku fight their way to their goal, their path is fraught with internal strife. When they encounter a formidable pair of adversaries from the west, the cohesion of the group -- and the fate of the mission -- may be at stake.
<br><br>
(Source: Anime News Network)","Action, Adventure, Comedy, Fantasy",26.0,68,"Hakkai Cho, Goku Son, Gyokumen Koushou, Lirin, Sanzo Koumyou, Gaty Nene Hawk, Gojou Sha, Sanzou Genjou, Kougaiji, Yaone, Ni Jianyi, Dokugakuji, Zakuro, Hazel Grosse, Jeep, Kanzeon Bosatsu"
GetBackers: Dakkanya,"Ban Mido and Ginji Amano run a freelance business of recovering anything lost or stolen from a client—and they claim a 100% success rate. They call themselves the GetBackers, and they're a super powered duo whose job lands them in dangerous predicaments. Although they have many adventures on their recovery quests, each has a mysterious past that rears its ugly head at the most inoportune moments. It's wild and crazy and one awesome anime ride!<br>
<br>
(Source: Sentai Filmworks)","Action, Comedy, Drama, Mystery",49.0,71,"Natsuhiko Miroku, Kaoru Ujiie, Toshiki Uryuu, Shunsuke Akutsu, Takeru Teshimine, Kazuki Fuuchoin, Yuuji Takamura, Haruo Ootaki, Madoka Otowa, Kyoji Kagami, Jubei Kakei, Ban Mido, Himiko Kudou, Yamato Kudou, Kuroudo Akabane, Ginji Amano, MakubeX, Clayman, Paul Wang, Haruki Emishi, Yukihiko Miroku, Midori, Sakura Kakei, Hevn, Masaki Kurusu"
Green Green,"Kanenone Academy was an all-boys high school isolated from the world by mountains and hills. Yusuke Takasaki, the average 11th grader, led a normal life in the academy until the academy announced attempting for co-ed, and high-school girls were being transferred for the summer semester.
<br><br>
(Source: Anime News Network)","Comedy, Ecchi, Romance, Slice of Life",12.0,53,"Reika Morimura, Kenichi Hotta, Taizo Tenjin, Yusuke Takasaki, Wakaba Kutsuki, Arisa Haruno, Tadatomo Ijuuin, Hikaru Ichiban-Boshi, Midori Chitose, Sanae Minami, Chigusa Iino, Futaba Kutsuki, Kenta Koyasu, Yasushi Todoroki"
GUNSLINGER GIRL,"Officially, the Social Welfare Agency is a government sponsored corporation that's in the business of saving lives. In reality, it's an agency on the fringe of technology. They give terminal patients another shot at life using cybernetic implants. This conditioning process then shapes the patient into an efficient machine for handling all of the government's dirty work.<br>
<br>
(Source: Funimation)","Action, Drama, Psychological, Sci-Fi",13.0,72,"Elsa de Sica, Enzo, Claes, Angelica, Jose Croce, Hilshire, Henrietta, Rico, Bellhop, Pietro Fermi, Raballo, Jean Croce, Triela, Priscilla, Mario Bossi, Marco Tongi, Caterina, Patricia, Lauro, Elenora Gabrielli, Amadeo, Enrico Beldini"
Hikaru no Go,"With a two-tone hairstyle and a streak of immaturity, Hikaru Shindou finds an old Go board with a hidden surprise - trapped within the Go Board is Fujiwara-no-Sai, the ghost of an ancient Go master! In the blink of an eye, Sai becomes part of Hikaru's consciousness and soon begins to learn the true essence behind this ancient game of skill and strategy.<br>
<br>
(Source: Viz Media)","Comedy, Sports, Supernatural",75.0,78,"Shinichirou Isumi, Seiji Ogata, Hikaru Shindou, Yuuki Mitani, Akira Touya, Tetsuo Kaga, Shigeo Morishita, Hikaru no Chichi, Fujiwara no Sai, Mitsura Mashiba, Akari Fujisaki, Atsushi Kurata, Asumi Nase, Yoshitaka Waya, Kimihiro Tsutsui, Yuuta Fukui, Akiko Touya, Honinbou Kuwabara, Kousuke Ochi, Toshirou Tsubaki, Kouyou Touya, Mitsuko Shindou, Mitani no Ane, Hai Yang, Kaoru Kishimoto"
HUNTER×HUNTER,"A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him.<br><br>
After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapika, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter. Based on the manga by Togashi Yoshihiro. ","Action, Adventure, Fantasy",62.0,82,"Gon Freecss, Silva Zoldyck, Hisoka Morow, Kite, Gozu, Izunavi, Basho, Majitani, Ging Freecss, Johness, Senritsu, Canary, Menchi, Mito Freecss, Kortopi, Ponzu, Anita, Zushi, Wing, Killua Zoldyck, Bodoro, Bourbon, Kiriko, Umori, Uvogin"
HUNTER×HUNTER OVA,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro.","Action, Adventure, Fantasy",8.0,81,"Gon Freecss, Hisoka Morow, Senritsu, Kortopi, Killua Zoldyck, Illumi Zoldyck, Nobunaga Hazama, Kurapika, Shalnark Ryuseih, Feitan Portor, Chrollo Lucilfer, Pakunoda, Shizuku Murasaki, Franklin Bordeaux, Leorio Paradinight, Phinks Magcub, Squala, Machi Komacine, Neon Nostrade, Milluki Zoldyck, Eliza"
HUNTER×HUNTER: Greed Island,"After the battle with the Spiders, the search for Ging continues as Gon and Killua decided to once again attempt to purchase the rare game ""Greed Island"". However, Gon came up with a better plan, which was to volunteer to complete the game for the billionaire who owned it. But some training must be done, as Gon and Killua's abilities are still at a developing stage and ""Greed Island"" is no simple game for anyone to play with. It is the infamous game that could easily lead to one's death. Based on the manga by Togashi Yoshihiro. ","Action, Adventure, Fantasy",8.0,79,"Gon Freecss, Hisoka Morow, Wing, Abengane, Ging Freecss, Genthru, Franklin Bordeaux, Nickes, Senritsu, Eeta, Biscuit Krueger, Kortopi, Killua Zoldyck, Kurapika, Kozufutoro, Shalnark Ryuseih, Feitan Portor, Shizuku Murasaki, Leorio Paradinight, Phinks Magcub, Milluki Zoldyck, Machi Komacine, Tsezguerra, Battera, Puhat"
HUNTER×HUNTER: Greed Island Final,"Continuing with their adventure at Greed Island, Gon and Killua train furiously under the guidance of Biscuit for better preparation at attempting the game. With their abilities vastly improving and the threat of player killers menacing Greed Island, Gon and company continue the game despite the dangers that they will face with the game activities and encounters with other players. Based on the manga by Togashi Yoshihiro.","Action, Adventure, Fantasy",14.0,79,"Gon Freecss, Hisoka Morow, Bara, Goreinu, Abengane, Ging Freecss, Sub, Genthru, Franklin Bordeaux, Bopobo, Nickes, List, Elena, Biscuit Krueger, Razor, Killua Zoldyck, Kurapika, Shalnark Ryuseih, Kazsule, Feitan Portor, Kess, Shizuku Murasaki, Kalluto Zoldyck, Phinks Magcub, Onnanoko"
Jinki:Extend,"Aoba used to spend all her time building model robots. But after a strange enemy emerges from beneath the planet’s surface, she joins an elite unit that uses giant robots to save the world! Aoba’s new life is dangerous, and the action can only intensify when a greater threat appears from the shadows. <br><br>
(Source: Crunchyroll)","Action, Drama, Mecha, Sci-Fi",12.0,56,"Shizuka Tsuzaki, Rui Kousaka, Satsuki Kawamoto, Ryouhei Ogawara, Mel J Vanette, Kouse, Shiva, Elny Tachibana, Kokusho, Aoba Tsuzaki, Hiroshi Kawamoto, Minami Kousaka, Akao Hiiragi, Genta Ogawara"
Kamikaze Kaitou Jeanne,"A normal looking high school girl on the outside, Kusakabe Maron is actually the reincarnation of Jeanne d' Arc. With the help of the angel, Fin Fish, Maron works as the thief Jeanne at night to seal the demons that reside in pieces of artwork, preying upon the weak hearts of the owners. She is branded as a thief due to the fact that the artworks disappear after she seals the demons. One day, a new neighbor and classmate appears, as well as a rival in her night job, the thief Sinbad. With her own best friend being the detective's daughter, out to capture her and the appearance of her new rival, Maron's work is anything but easy.","Action, Adventure, Comedy, Drama, Fantasy, Mahou Shoujo, Mystery, Romance, Supernatural",44.0,71,"Yamato Minazuki, Maron Kusakabe, Claude Noin, Access Time, Chiaki Nagoya, Myst, Miyako Toudaiji, Finn Fish, Koron Kusakabe"
Kannazuki no Miko,"The highborn Himemiya Chikane is cool and aloof, the perfect young lady of good breeding. Kurusegawa Himeko is devoted to her, and secretly her friend. Their lives are undisturbed in their school, until an ancient evil suddenly rears its head. To combat it, Chikane and Himeko must take on the roles of shrine maidens of the Moon and Sun. ","Drama, Mecha, Romance",12.0,62,"Chikane Himemiya, Nekoko, Reiko Oota, Makoto Saotome, Corona, Himeko Kurusugawa, Sister Miyako, Kazuki Oogami, Girochi, Souma Oogami, Tsubasa, Yukihito, Izumi, Otoha Kisaragi"
Kanon,"Changing schools is something Yuuchi is accustomed to, due to his parent's profession, and with their recent venture to Africa, he is returning to his aunt's home after 7 years. The time that has passed since his last visit has faded his memories of the people he knew, and the ties that bonded them to him, including his cousin Nayuki. Slowly those people, coincidently all being girls, find their way back to him. However, time has passed and things have happened in their own lives that sets the tone for the series. Secrets that are coming to surface, and memories that are returning to not only Yuuichi, but to those surrounding him. A very heartwarming tale that touches upon a spectrum of emotions, mystery, and the supernatural.
<br><br>
(Source: Anime News Network)","Drama, Romance, Slice of Life, Supernatural",13.0,64,"Jun Kitagawa, Kaori Misaka, Mai Kawasumi, Ayu Tsukimiya, Sayuri Kurata, Mishio Amano, Kuze, Akiko Minase, Makoto Sawatari, Shiori Misaka, Nayuki Minase, Yuuichi Aizawa"
Kareshi Kanojo no Jijou,"Miyazawa Yukino is the perfect student. Kind, intelligent, pretty and modest, it's unbelievable that such a person could exist. Little did everyone know Yukino's perfection was just a facade. An act to fulfill her desire for praise and admiration. Her life took a turn however, as a newcomer to their school Arima Soichiro topped the exam rankings. Arima is more than just intelligent, he's also kind, handsome and modest, an unbelievable person who can actually exist. Even worse luck, Arima found out Yukino's secret, blackmailing her to help him out. Their odd relationship soon develops into friendship and eventually into love. But can their love prevail through the many problems that come their way?","Comedy, Drama, Romance, Slice of Life",26.0,75,"Kazuma Ikeda, Kano Miyazawa, Hiroyuki Miyazawa, Tsubaki Sakura, Soichiro Arima, Maho Izawa, Takefumi Tonami, Hideaki Asaba, Kawashima-sensei, Rika Sena, Yukino Miyazawa, Tsubasa Shibahime, Aya Sawada, Tsukino Miyazawa, Toshiharu Shibahime, Miyako Miyazawa, Pero Pero, Yumi Ikeda, Otona no Hito, Sensei, Shouji Arima, Arima no Haha, Hiroyuki no Sofu, Kobashi, Kouhei Fukada"
Kono Minikuku mo Utsukushii Sekai,"High school student Takeru Takemoto works part time as a (motor)bike courier. During one of his deliveries, he saw a mysterious light passing him and fell into a forest. What he had found was a beautiful girl coming out from a glowing cocoon, calling herself ""Hikari."" While Takeru was quite embarrassed because of Hikari's nudity, a strange monster suddenly showed up and immediately attacked the two. Both Takeru and Hikari demonstrated the power of their other selves before Takeru had a clue of what's going on.
<br><br>
(Source: Anime News Network)","Comedy, Drama, Romance, Sci-Fi",12.0,62,"Hikari Hoshino, Akari, Kuon, Mari Nishino, Kimi Ninomiya, Daijirou Matsumura, Jennifer Portman, Takeru Takemoto, Ryou Ninomiya, Shinichi Asakura, Amika Kurebayashi, Ioneos, Sakurako Urushima"
Kimi ga Nozomu Eien,"At first, Takayuki Narumi is befriended by Mitsuki Hayase only because Mitsuki's best friend, Haruka Suzumiya has a crush on him; however since then, Takayuki, his pal Shinji Taira, and Mitsuki have grown to be the best of friends. Then one day, Haruka confesses to Takayuki her love for him. Not wanting to hurt her feelings, Takayuki agrees to go out with her. After a few incidents, their relationship gets intimate, even while Takayuki and Mitsuki begin to realize their feelings for each other. But suddenly, when tragedy strikes, things are never the same for these four friends again. <br>","Drama, Romance, Slice of Life",14.0,66,"Azusa Ishida, Akane Suzumiya, Mayu Tamano, Ayu Daikuuji, Takayuki Narumi, Haruka Suzumiya, Mitsuki Hayase, Fumio Hoshino, Shinji Taira, Motoko Kouzuki, Souchirou Suzumiya, Yoshiyuki Itou, Kaoru Suzumiya, Kenzou Sakiyama, Hotaru Amakawa, Manami Homura"
Kita e.: Diamond Dust Drops,"If a couple sees the diamond dust together, then they will certainly find eternal happiness. Or so it is said. This is a drama about the romances, friendships and conflicts of six girls from Hokkaido and how the diamond dust affects them and eventually links them together in the search for happiness.
<br><br>
(Source: Anime News Network)
<br>","Drama, Romance, Slice of Life",12.0,62,"Kyoko Asahina, Akari Harada, Karin Shiraishi, Suomi Kitano, Atsuko Akanegi, Shoko Saibara"
LOVELESS,"Twelve-year old Aoyagi Ritsuka is left with his insane mother as his only family when his brother, Seimei, is killed suddenly. After moving to a new school, he meets Agatsuma Soubi, who claims to have known his brother. Ritsuka eventually discovers that Soubi and Seimei used to be a fighting pair, whereby Soubi was the ""Fighter"" and Seimei was the ""Sacrifice"". Now that Seimei is gone, Ritsuka has inherited Soubi, who will become his ""Fighter"". After learning that Seimei was killed by an organisation known as the ""Seven Moons"", Ritsuka decides to investigate into his brother's death, with the sometimes useless help of Soubi, along the way.
<br><br>
(Source: Anime News Network)","Action, Drama, Fantasy, Mystery, Romance",12.0,58,"Kouya Sakagami, Soubi Agatsuma, Ginka, Hitomi Shinonome, Ritsuka Aoyagi, Kinka, Ai Myoushin, Nana Saotome, Yayoi Shioiri, Seimei Aoyagi, Yuiko Hawatari, Nagisa Sagan, Ritsu Minami, Natsuo Sagan, Midori Arai, Youji Sagan, Yamato Nakano, Kio Kaidou, Katsuko Sensei, Misaki Aoyagi"
BLOOD+,"Saya Otonashi, a seemingly normal high school student, suffers from amnesia and she can't remember the past year of her life. One day, after a man appears and gives her a katana sword, her destiny begins to be revealed.<br>
<br>
Soon she finds herself fighting the latest threat to humanity - Chiropteran monsters, ravenous immortal creatures that can change their form, disguising themselves as human beings. They feed off blood and hide themselves within the human world. An organization known as the Red Shield has been waging a private war to wipe them out and now the struggle has grown. Saya's journey for the truth has begun.<br>
<br>
(Source: Sony Pictures Home Entertainment)","Action, Drama, Horror, Mystery, Supernatural",50.0,73,"Moses, Aston Collins, Joel Goldschmidt VI, Haji, Van Argiano, Phillip Rosenberg, Lulu, Nathan Mahler, Gudrif, Mao Jahana, Karman, Grigori Efimovich Rasputin, Monique, Clara, Gin, Amshel Goldsmith, Kaori Kinjou, Min, Irène, Diva, Riku Miyagusuku, Akihiro Okamura, David, James Ironside, Kai Miyagusuku"
Re: Cutie Honey,"A mysterious organization known as Panther Claw make their presence known by terrorizing Tokyo and giving the cops a run for their money. Police are further baffled by the appearance of a lone cosplaying vigilante who thwarts all of Panther Claw's evil schemes before disappearing. That cosplayer is Honey Kisaragi, the result of the late Professor Kisaragi's prize experiment. A master of disguise, Honey can magically alter her physical appearance and outfits. But with a push of the heart-shaped button on her choker, she transforms herself into Cutie Honey, the scantily-clad, sword-wielding warrior of love and justice.
<br><br>
(Source: Anime News Network)","Action, Comedy, Ecchi, Mahou Shoujo, Sci-Fi",3.0,71,"Honey Kisaragi, Scarlet Claw, Natsuko Aki, Shitsuji, Seiji Hayami, Sister Jill, Black Claw, Cobalt Claw, Gold Claw, Destroy Panther, Rinko Terada, Scope Panther, Tokimura, Mikami, Mayumi Takahashi, Mannen Kakarichou, Kyouko Izumiya"
Solty Rei,"In a future-based disaster-ridden city with an enormous gap between the rich and the poor, it is hard to tell which humans are walking around with cybernetic body parts. This makes Roy Revant's job as a renegade bounty hunter/bodyguard-for-hire even more difficult. When a young girl with unbeliveable strength rescues him from a particularly dangerous criminal, Roy realizes that perhaps help can be found in the strangest of places. Joining together with a few others, they engage in a battle to find out the truth behind the giant conglomerates that are supposedly serving mankind and making life better.<br><br>
Solty, an android who has lost her memory, has escaped and is being hunted by the RUC Security Bureau. She encounters the bounty hunter Roy and he adopts her as his daughter after being hired as a bodygaurd for Miranda.<br><br>
(Source: Anime News Network)","Action, Sci-Fi",24.0,69,"Celica Yayoi, Accela Warrick, Rose Anderson, Roy Revant, Miranda Maverick, Silvia Ban, Mie, Integra Martel, Will, Kasha Maverick, John Kimberlin, Ashley Lynx, Solty Revant, Yuto K. Steel, Chuu Hou, Larry Anderson, Andy Anderson"
Juuni Kokuki,"Nakajima Youko is your average somewhat timid high school student. One day, a strange man named Keiki appears before her, swearing allegiance. Before she could properly register what was happening, demon-like creatures attack Youko and her friends, after which they are pulled into a different world. A world unlike what she has ever known. Separated from Keiki, Youko and her friends must do whatever they can if they wish to survive in this new world.","Action, Adventure, Fantasy, Supernatural",45.0,77,"Rakushun, Taiki, Kouya, Riyou, Shoukei, Ikuya Asano, Gyousou Saku, Enki, Sanshi Haku, Sekki, Youko Nakajima, Chuuchin, Gaishi, Youka, Keiki, Shouryuu, Shoukou, Risai, Gyokuyou, Aozaru, Kantai, Ribi, Shushou, Yuka Sugimoto, Suzu Ooki"
Shaman King,"Shamans possess mysterious powers that allow them to commune with gods, spirits, and even the dead…and Manta Oyamada's about to learn all about them, because his class just welcomed a new transfer student: Yoh Asakura, a boy from way off in Izumo…and a shaman in training!
<br><br>
(Source: Kodansha USA)","Action, Adventure, Comedy, Drama, Supernatural",64.0,73,"Opacho, Anna Kyouyama, Ching Tao, Amidamaru, Chrysler, Hao Asakura, Lily, Iron Maiden Jeanne, Boris Tepes Dracula, Horohoro, Mic, Zang-Ching Hang, Pirica Usui, Meene Montgomery, Pino Graham, Tamao Tamamura, Kororo, Ren Tao, Pai-Long Lee, Silva, Kalim, Tokagero, Youmei Asakura, Keiko Asakura, Johann Faust VIII"
X,"The future of the universe rests on one young man, Kamui Shirou, who must destroy either the Dragons of Earth or the Dragons of Heaven - two opposing armies. He alone must decide whether humanity should be destroyed to create a purified universe, or whether it should be protected to preserve civilization.<br>
<br>
Two oracles, the sisters Hinoto and Kanoe foresee the coming of the Dragons and predict opposite outcomes. Each sister gathers strength and ammunition to insure her own vision for the future. However, neither sister realizes that there is one man who has an even greater power than the Dragons, and that ultimately he will determine the fate of the earth.<br>
<br>
Which sister will prevail and how does Kamui fit into their struggle? The answer to this question will forever affect humanity.<br>
<br>
(Source: Manga Entertainment)","Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",1.0,61,"Kamui Shirou, Fuuma Monou, Subaru Sumeragi, Seiichiro Aoki, Arashi Kishu, Kanoe, Hinoto, Karen Kasumi, Satsuki Yatouji, Nataku, Kotori Monou, Kusanagi Shiyu, Sorata Arisugawa, Yuto Kigai, Tooru Shirou, Seishirou Sakurazuka, Yuzuriha Nekoi"
